Drive folder,Brand,Drive name,Images,Matched SKU,Matched product,How
NEXT/ARM CHAIRS/PROGRESSIVE,NEXT,PROGRESSIVE,20,,,NO MATCH
NEXT/ARM CHAIRS/ROMAN,NEXT,ROMAN,50,NP-NXT-014,Roman,exact
NEXT/ARM CHAIRS/STARK,NEXT,STARK,60,NP-NXT-010,Stark,exact
NEXT/ARM CHAIRS/STURDY,NEXT,STURDY,12,,,NO MATCH
NEXT/ARM CHAIRS/STYLE NEXT,NEXT,STYLE NEXT,11,,,NO MATCH
NEXT/ARM CHAIRS/TEXX,NEXT,TEXX,1,,,NO MATCH
NEXT/ARM CHAIRS/TREAT,NEXT,TREAT,20,NP-NXT-017,Treat,exact
NEXT/ARM CHAIRS/ULTIMATE,NEXT,ULTIMATE,50,,,NO MATCH
NEXT/ARM CHAIRS/ULTIMATE NEW,NEXT,ULTIMATE NEW,30,,,NO MATCH
NEXT/ARM CHAIRS/ULTIMATE PATNA,NEXT,ULTIMATE PATNA,30,,,NO MATCH
NEXT/ARM CHAIRS/VANITY,NEXT,VANITY,50,NP-NXT-009,Vanity,exact
NEXT/ARM CHAIRS/VANITY S.DLX,NEXT,VANITY S.DLX,5,NP-NXT-002,Vanity Super DLX,exact
NEXT/ARM CHAIRS/WHEEL,NEXT,WHEEL,50,NP-NXT-015,Wheel,exact
NEXT/ARM CHAIRS/WONDER,NEXT,WONDER,26,NP-NXT-011,Wonder,exact
NEXT/ARMLESS CHAIRS/CALIBER S.DLX,NEXT,CALIBER S.DLX,10,NP-NXT-004,Caliber Super DLX,exact
NEXT/ARMLESS CHAIRS/CANNY,NEXT,CANNY,50,NP-NXT-025,Canny,exact
NEXT/ARMLESS CHAIRS/CATCH,NEXT,CATCH,11,NP-NXT-021,Catch,exact
NEXT/ARMLESS CHAIRS/DELIGHT,NEXT,DELIGHT,74,NP-NXT-029,Delight,exact
NEXT/ARMLESS CHAIRS/DISCOVER S.DLX,NEXT,DISCOVER S.DLX,10,NP-NXT-003,Discover Super DLX,exact
NEXT/ARMLESS CHAIRS/Globe,NEXT,Globe,35,,,NO MATCH
NEXT/ARMLESS CHAIRS/Grand,NEXT,Grand,44,,,NO MATCH
NEXT/ARMLESS CHAIRS/IMPERIAL HAJIPUR,NEXT,IMPERIAL HAJIPUR,22,NP-NXT-034,Imperial Hajipur,exact
NEXT/ARMLESS CHAIRS/imperial KOLKATA (lily),NEXT,imperial KOLKATA (lily),20,,,NO MATCH
NEXT/ARMLESS CHAIRS/IMPERIAL OR FLORENCE,NEXT,IMPERIAL OR FLORENCE,5,,,NO MATCH
NEXT/ARMLESS CHAIRS/INVENT S.DLX,NEXT,INVENT S.DLX,10,NP-NXT-005,Invent Super DLX,exact
NEXT/ARMLESS CHAIRS/KINKY,NEXT,KINKY,40,NP-NXT-035,Kinky,exact
NEXT/ARMLESS CHAIRS/MATT,NEXT,MATT,15,NP-NXT-007,Matt,exact
NEXT/ARMLESS CHAIRS/NETT,NEXT,NETT,14,,,NO MATCH
NEXT/ARMLESS CHAIRS/NEW IMPERIAL,NEXT,NEW IMPERIAL,85,,,NO MATCH
NEXT/ARMLESS CHAIRS/OLD IMPERIAL KOLKATA,NEXT,OLD IMPERIAL KOLKATA,19,,,NO MATCH
NEXT/ARMLESS CHAIRS/OLD IMPERIAL RRK,NEXT,OLD IMPERIAL RRK,3,,,NO MATCH
NEXT/ARMLESS CHAIRS/ROLEX,NEXT,ROLEX,50,NP-NXT-027,Rolex,exact
NEXT/ARMLESS CHAIRS/SPREAD,NEXT,SPREAD,37,NP-NXT-024,Spread,exact
NEXT/ARMLESS CHAIRS/STAR,NEXT,STAR,38,NP-NXT-028,Star,exact
NEXT/ARMLESS CHAIRS/TITAN,NEXT,TITAN,20,,,NO MATCH
NEXT/ARMLESS CHAIRS/TOSS,NEXT,TOSS,50,NP-NXT-030,Toss,exact
NEXT/ARMLESS CHAIRS/WIFI,NEXT,WIFI,33,,,NO MATCH
NEXT/BABY CHAIRS/BABY ULTIMATE,NEXT,BABY ULTIMATE,50,NP-NXT-038,Baby Ultimate,exact
NEXT/BABY CHAIRS/Big Ponny Next,NEXT,Big Ponny Next,31,,,NO MATCH
NEXT/BABY CHAIRS/BONNY,NEXT,BONNY,21,NP-NXT-040,Bonny,exact
NEXT/BABY CHAIRS/BONNY NEXT,NEXT,BONNY NEXT,23,,,NO MATCH
NEXT/BABY CHAIRS/CIVIC,NEXT,CIVIC,28,NP-NXT-042,Civic,exact
NEXT/BABY CHAIRS/DOLPHIN EAZY CHAIR,NEXT,DOLPHIN EAZY CHAIR,50,,,NO MATCH
NEXT/BABY CHAIRS/KIDJEE JR,NEXT,KIDJEE JR,46,,,NO MATCH
NEXT/BABY CHAIRS/KINDER,NEXT,KINDER,41,NP-NXT-044,Kinder,exact
NEXT/BABY CHAIRS/PONNY,NEXT,PONNY,25,NP-NXT-043,Ponny,exact
NEXT/BABY CHAIRS/PRIMO NEXT,NEXT,PRIMO NEXT,17,,,NO MATCH
NEXT/BABY CHAIRS/ROCKER,NEXT,ROCKER,6,NP-NXT-037,Rocker,exact
